measId,measTimestamp,Position X, Position Y,Position Z,zoneId,Zonename,meas X,meas Y,meas Z,N,109,AIT-L15,aut-sams-1,bolyai_E4_floor3,Bosch_Telemetry,dd,doa2,doa200,doa203,doa207,doa208,doa6,EET_3,FRM,GEIAKFSZ,IITAP1,IITAP1-GUEST,IITAP2,IITAP2-GUEST,IITAP3,IITAP3-GUEST,info,info2,KEMA10,kemA4,KRZ,library114,TP-LINK_B2765A,UPC Wi-Free,UPC8902044,wireless,00:16:53:4C:B1:F9,00:16:53:4C:B2:02,00:16:53:4C:B4:EB,00:16:53:4C:E9:1D,00:16:53:4C:F2:6A,00:16:53:4C:F5:2D,00:16:53:4C:F9:A4,00:16:53:4C:FA:60,00:16:53:4C:FA:67,48:5A:B6:54:35:DC,6B:C2:26:12:62:60,DANI 6B:C2:26:12:62:60,DM06082 48:5A:B6:54:35:DC,EV3 00:16:53:4C:E9:1D,EV3 00:16:53:4C:F2:6A,EV3 00:16:53:4C:FA:60,EV3 00:16:53:4C:FA:67,EV3BD 00:16:53:4C:F5:2D,IZE 00:16:53:4C:B1:F9,JOE 00:16:53:4C:F9:A4,MEGAROBOT 00:16:53:4C:B2:02,MrEv3 00:16:53:4C:B4:EB
04550b4e-b5fc-4665-a043-18e82e94399a,40:22.0,8,8,4.4,07a25de0-a013-486d-9463-404a348e05ee,1st Floor East Corridor,0.119910084,-0.932650208,0.049958397,100,-70,100,-80,100,100,-83,100,100,-82,-74,-53,-83,100,100,-63,-55,-57,-78,-79,-74,-73,100,100,100,100,-65,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0
93645336-eb2d-4983-950f-cb0e4191b986,43:13.0,12,9,4.4,07a25de0-a013-486d-9463-404a348e05ee,1st Floor East Corridor,1.275435805,-1.024374962,0.058755822,100,-69,100,-82,100,100,-75,100,100,100,-82,-68,100,100,100,-65,-75,-81,-79,-80,-73,-73,100,100,100,100,-72,100,-85,100,100,100,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
7f210fdb-7018-454c-978b-9a595ee39130,50:48.0,23,8,4.4,07a25de0-a013-486d-9463-404a348e05ee,1st Floor East Corridor,-0.506721914,-0.964530349,0.055498507,100,-65,100,-79,100,100,-81,100,-85,100,100,-75,100,100,100,-79,-74,-82,-82,-81,-86,-86,100,100,100,100,-85,-86,-72,100,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1
d9b0c804-5886-4b69-a65a-0ea9a423f5df,53:22.0,26,9,4.4,07a25de0-a013-486d-9463-404a348e05ee,1st Floor East Corridor,0.55769825,-0.950143814,0.127509564,100,-75,100,-66,100,100,-83,-78,-75,100,100,-75,100,100,100,-84,100,100,-66,-64,-85,-85,100,100,100,100,-89,100,-85,100,100,100,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
d1bdb07f-23c9-4d73-a2c5-e24642778075,51:31.0,24,8,4.4,07a25de0-a013-486d-9463-404a348e05ee,1st Floor East Corridor,-0.46259591,-0.717115641,0.08314123,100,-76,100,-83,100,100,-86,100,-82,100,100,-82,100,100,100,100,-84,-81,-80,-82,-86,-87,100,100,100,100,-81,100,-89,100,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1
65a9829f-ce68-4974-ade0-bf9d75e7e667,46:41.0,17,9,4.4,07a25de0-a013-486d-9463-404a348e05ee,1st Floor East Corridor,-0.763205349,-1.00510478,-0.030293761,100,-66,100,-80,100,100,-75,-87,-86,100,100,-70,100,100,100,-82,100,-82,-72,-72,-80,-76,100,100,100,100,-82,100,-73,100,100,100,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
aded8741-7dae-4c72-b2b1-7f76f63db10c,54:46.0,28,9,4.4,07a25de0-a013-486d-9463-404a348e05ee,1st Floor East Corridor,0.901811421,-0.865374386,0.113150977,100,-75,100,-72,100,100,100,-89,-82,100,100,100,100,100,100,100,100,100,-73,-73,100,100,100,100,100,100,100,100,100,100,100,100,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
587c44e5-4869-4400-bca0-8325dddbbedd,38:42.0,6,8,4.4,07a25de0-a013-486d-9463-404a348e05ee,1st Floor East Corridor,0.344791442,-0.751425028,0.08314123,100,-79,100,100,100,100,-93,100,100,100,-81,-75,100,100,100,-74,-60,-60,-80,100,-82,-83,100,100,100,100,-65,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1
8b5d4222-e5b2-4091-b6ed-657243288cf1,46:05.0,16,9,4.4,07a25de0-a013-486d-9463-404a348e05ee,1st Floor East Corridor,-1.126404166,-1.093224406,0.033320997,100,-64,100,-88,100,100,-80,100,100,100,100,-77,100,100,100,-83,-85,-85,-78,-80,-87,-89,100,100,100,100,-88,100,-86,100,100,100,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
e49d7d17-24a5-4a1f-86ec-d7a1669a1aa5,41:58.0,11,8,4.4,07a25de0-a013-486d-9463-404a348e05ee,1st Floor East Corridor,2.611777306,-1.057711363,0.120623671,100,-57,100,100,100,100,-81,100,100,100,-80,-55,100,100,100,-59,-73,-76,-78,-79,-70,-69,100,100,100,100,-74,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0
7693e9a2-a557-4ba4-bc5c-0555c7cc026d,55:40.0,29,9,4.4,07a25de0-a013-486d-9463-404a348e05ee,1st Floor East Corridor,-1.237935305,-0.764892936,0.019997332,100,-76,100,-76,100,100,-84,-75,-68,100,100,-75,100,100,100,-81,100,-90,-76,-66,-79,-79,100,100,100,100,100,-72,-89,100,100,100,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
d9ec11c6-cce5-4b24-aee1-2a57bfa8641a,39:20.0,7,8,4.4,07a25de0-a013-486d-9463-404a348e05ee,1st Floor East Corridor,0.154073343,-0.658080995,-0.037717953,100,-74,100,100,100,100,-89,100,100,100,-71,-68,100,100,100,-71,-56,-57,100,100,-82,-81,100,100,100,100,-67,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1
4046b713-4cf6-4aff-bf5e-87613f787d49,39:57.0,8,9,4.4,07a25de0-a013-486d-9463-404a348e05ee,1st Floor East Corridor,0.070102423,-1.030174494,0.030293763,100,-61,100,100,100,100,-83,100,-89,100,-69,-60,100,100,100,-60,-63,-64,-77,-77,-65,-65,100,100,100,100,-68,-87,100,100,100,100,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
58ffa7b9-060a-4a72-b4f2-a12fb6240f92,42:33.0,11,9,4.4,07a25de0-a013-486d-9463-404a348e05ee,1st Floor East Corridor,1.030841947,-0.917791128,0.025635408,100,-64,100,100,100,100,100,100,100,100,-81,-63,100,100,100,-59,-74,-73,100,100,-65,-65,100,100,100,100,-71,100,100,100,100,100,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
503a85f2-bc52-4882-ab86-4177f6ebafcc,48:03.0,20,8,4.4,07a25de0-a013-486d-9463-404a348e05ee,1st Floor East Corridor,0.745767355,-0.693980634,0.055498511,100,-77,100,-82,100,100,-68,100,-82,100,100,-83,100,100,100,-88,100,100,-84,-82,-79,-79,100,100,100,100,-83,-80,-70,100,100,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1
